X,Y
34.5866,117.4008
34.5848,117.3991
34.5725,117.3974
34.5212,117.3954
34.5256,117.3056
34.5349,117.3032
34.5405,117.3018
34.5497,117.3000
34.5600,117.2950
34.5600,117.2950
34.6137,117.2552
34.6605,117.2181
34.6769,117.2050
34.6821,117.2011
34.6869,117.1990
34.6921,117.1996
34.6974,117.1997
34.7022,117.1992
34.7074,117.1954
34.7355,117.1757
34.7659,117.1538
34.7780,117.1440
34.7831,117.1390
34.7929,117.1241
34.8069,117.1032
34.8268,117.0728
34.8307,117.0706
34.8407,117.0685
34.8512,117.0670
34.8560,117.0654
34.8590,117.0609
34.8699,117.0421
34.8803,117.0189
34.8861,117.0084
34.4131,117.3893
34.4277,117.3782
34.4646,117.3494
34.5028,117.3195
34.5169,117.3095
34.5233,117.3045
34.5256,117.3056
34.3165,117.4650
34.3233,117.4667
34.3274,117.4657
34.3324,117.4668
34.3342,117.4685
34.3378,117.4702
34.3410,117.4724
34.3451,117.4730
34.3478,117.4725
34.3492,117.4697
34.3506,117.4641
34.3515,117.4580
34.3520,117.4502
34.3529,117.4447
34.3575,117.4347
34.3707,117.4219
34.3799,117.4147
34.3985,117.4009
34.4131,117.3893
35.0567,118.9675
35.0464,118.9622
35.0328,118.9585
35.0243,118.9531
35.0243,118.9531
35.0207,118.9509
35.0027,118.9436
34.9877,118.9388
34.9742,118.9345
34.9615,118.9314
34.9457,118.9282
34.9303,118.9239
34.9186,118.9191
34.9073,118.9138
34.9019,118.9108
34.8903,118.8993
34.8804,118.8918
34.8724,118.8849
34.8643,118.8802
34.8571,118.8761
34.8462,118.8742
34.8303,118.8727
34.8140,118.8717
34.8040,118.8709
34.9839,117.5308
34.9818,117.5123
34.9800,117.4909
34.9778,117.4786
34.9729,117.4656
34.9684,117.4538
34.9548,117.4257
34.9458,117.4043
34.9359,117.3746
34.9315,117.3516
34.9288,117.3201
34.9262,117.2854
34.9245,117.2523
34.9232,117.2243
34.9209,117.1962
34.9210,117.1715
34.9215,117.1508
34.9238,117.1340
34.9265,117.1155
34.9274,117.1015
34.9274,117.0925
34.9256,117.0863
34.9256,117.0863
34.9206,117.0779
34.9165,117.0650
34.9161,117.0504
34.9156,117.0364
34.9193,117.0263
34.9211,117.0224
34.9193,117.0191
34.9188,117.0174
35.2697,118.6733
35.2690,118.6592
35.2678,118.6479
35.2644,118.6349
35.2599,118.6252
35.2556,118.6150
35.2489,118.6047
35.2422,118.5961
35.2390,118.5938
35.2328,118.5886
35.2296,118.5846
35.2251,118.5800
35.2225,118.5771
35.2198,118.5737
35.2185,118.5697
35.2176,118.5652
35.2186,118.5630
35.2186,118.5630
35.2173,118.5540
35.2169,118.5477
35.2157,118.5427
35.2116,118.5369
35.2049,118.5295
35.1987,118.5170
35.1943,118.5079
35.1885,118.4982
35.1823,118.4852
35.1752,118.4727
35.1704,118.4630
35.1646,118.4533
35.1601,118.4476
35.1552,118.4413
35.1463,118.4299
35.1404,118.4219
35.1329,118.4100
35.1222,118.3924
35.1137,118.3793
35.1080,118.3651
35.1049,118.3516
35.1028,118.3381
35.1026,118.3201
35.1037,118.3049
35.1065,118.2909
35.1079,118.2892
35.1079,118.2892
35.1140,118.2719
35.1169,118.2562
35.1193,118.2422
35.1226,118.2333
35.1254,118.2266
35.1251,118.2137
35.1225,118.1973
35.1190,118.1877
35.1108,118.1848
35.0900,118.1816
35.0787,118.1786
34.9803,118.1637
34.9644,118.1595
34.9535,118.1582
34.9422,118.1592
34.9263,118.1606
34.9113,118.1637
34.8985,118.1725
34.8875,118.1785
34.8815,118.1829
34.8743,118.1839
34.8661,118.1838
34.8602,118.1820
34.8208,118.1753
34.7790,118.1685
34.1664,118.1426
34.1674,118.1337
34.1665,118.1276
34.1648,118.1198
34.1658,118.1137
34.1672,118.1082
34.1672,118.1021
34.1682,118.0982
34.1692,118.0916
34.1692,118.0882
34.1692,118.0844
34.1670,118.0788
34.1630,118.0704
34.1598,118.0676
34.1598,118.0676
34.1544,118.0429
34.1499,118.0200
34.0631,118.0601
34.0651,118.0435
34.0647,118.0308
34.0662,118.0186
34.0681,118.0042
34.0733,117.9887
34.0752,117.9754
34.0761,117.9732
34.0371,118.0132
34.0423,118.0022
34.0493,117.9905
34.0546,117.9843
34.0628,117.9785
34.0716,117.9745
34.0761,117.9732
34.0761,117.9732
34.0930,117.9607
34.1086,117.9487
34.1237,117.9367
34.0818,117.8951
34.0816,117.9112
34.0815,117.9267
34.0805,117.9433
34.0776,117.9649
34.0761,117.9732
34.1237,117.9367
34.1234,117.9111
34.1213,117.8983
34.1499,118.0200
34.1463,118.0163
34.1446,118.0121
34.1456,118.0050
34.1461,117.9984
34.1467,117.9866
34.1464,117.9760
34.1465,117.9662
34.1443,117.9632
34.1403,117.9567
34.1318,117.9451
34.1259,117.9401
34.1237,117.9367
33.9918,118.0536
34.0004,118.0468
34.0125,118.0416
34.0195,118.0394
34.0256,118.0337
34.0310,118.0255
34.0348,118.0190
34.0371,118.0132
34.0158,118.1598
34.0145,118.1520
34.0100,118.1475
34.0046,118.1408
33.9978,118.1346
33.9915,118.1312
33.9852,118.1255
33.9789,118.1199
33.9730,118.1149
33.9703,118.1104
33.9631,118.1036
34.0612,118.2065
34.0622,118.1987
34.0623,118.1926
34.0623,118.1926
34.0596,118.1843
34.0601,118.1771
34.0616,118.1693
34.0626,118.1633
34.0645,118.1539
34.0645,118.1539
34.0660,118.1389
34.0647,118.1267
34.0617,118.1084
34.0619,118.0878
34.0630,118.0673
34.0631,118.0601
34.0158,118.1598
34.0197,118.1579
34.0250,118.1573
34.0645,118.1539
34.0476,118.1547
34.0376,118.1557
34.0335,118.1920
34.0248,118.1740
34.0211,118.1665
34.0158,118.1598
34.0612,118.2065
34.0580,118.2076
34.0498,118.2069
34.0435,118.2029
34.0422,118.2007
34.0408,118.1995
34.0623,118.1926
34.0541,118.1942
34.0454,118.1968
34.0408,118.1995
34.1220,118.1769
34.1100,118.1878
34.1008,118.1977
34.0957,118.2059
34.0957,118.2059
34.0885,118.2003
34.0795,118.1990
34.0718,118.1956
34.0623,118.1926
34.1047,118.2398
34.1096,118.2474
34.1157,118.2573
34.1488,118.1745
34.1557,118.1663
