X Y
41.614629 -124.116196
41.614308 -124.112486
41.613014 -124.110556
41.609884 -124.109121
41.608568 -124.107805
41.606776 -124.107073
41.605460 -124.105757
41.604166 -124.103828
41.602396 -124.102483
41.600129 -124.102334
41.598316 -124.102215
41.596480 -124.102709
41.595076 -124.103847
41.594147 -124.104400
41.592333 -124.104281
41.590132 -124.102293
41.588363 -124.100948
41.586162 -124.098960
41.583895 -124.098812
41.582534 -124.098723
41.581108 -124.100473
41.580633 -124.101056
41.579207 -124.102806
41.578753 -124.102777
41.576552 -124.100789
41.575646 -124.100729
41.574695 -124.101896
41.572837 -124.103003
41.571046 -124.102271
41.567894 -124.101451
41.565240 -124.099434
41.561656 -124.097970
41.558958 -124.097179
41.555375 -124.095716
41.552764 -124.092474
41.549766 -124.087364
41.547155 -124.084122
41.546811 -124.081029
41.546467 -124.077935
41.545216 -124.074782
41.544872 -124.071689
41.544981 -124.068625
41.544593 -124.066757
41.543752 -124.064860
41.542910 -124.062963
41.542069 -124.061066
41.541249 -124.058556
41.539976 -124.056017
41.538724 -124.052865
41.537430 -124.050938
41.535228 -124.048953
41.533889 -124.048253
41.532551 -124.047552
41.531579 -124.049331
41.531514 -124.051169
41.532787 -124.053708
41.534492 -124.056889
41.537016 -124.062580
41.539540 -124.068271
41.540791 -124.071424
41.541179 -124.073291
41.540682 -124.074487
41.539732 -124.075654
41.537421 -124.076732
41.536039 -124.077256
41.535089 -124.078422
41.535520 -124.079064
41.536427 -124.079123
41.537334 -124.079183
41.539622 -124.078717
41.541889 -124.078865
41.543206 -124.080179
41.544003 -124.083302
41.539923 -124.083036
41.535842 -124.082770
41.530402 -124.082415
41.528998 -124.083552
41.526709 -124.084017
41.525824 -124.083345
41.524939 -124.082673
41.523967 -124.084452
41.523945 -124.085064
41.521722 -124.083691
41.519477 -124.082931
41.518570 -124.082872
41.515806 -124.083920
41.512655 -124.083100
41.510410 -124.082340
41.507280 -124.080908
41.504172 -124.078864
41.501474 -124.078074
41.498322 -124.077255
41.493788 -124.076960
41.490637 -124.076141
41.486665 -124.072814
41.482154 -124.071907
41.476757 -124.070329
41.470951 -124.067497
41.466395 -124.067815
41.462315 -124.067550
41.457782 -124.067256
41.453226 -124.067573
41.448240 -124.067250
41.442368 -124.066255
41.436475 -124.065873
41.426436 -124.067061
41.416894 -124.067055
41.410482 -124.068478
41.406358 -124.069436
41.404070 -124.069901
41.400443 -124.069665
41.396320 -124.070623
41.390405 -124.070852
41.387210 -124.071258
41.383993 -124.072274
41.380754 -124.073902
41.377128 -124.073667
41.371213 -124.073895
41.365730 -124.074765
